2024/04/15 14:02:16 ID: 241, Data: 9C4F9E02F7FF9002, Celsius: 79, A: +6.70, rev/s: -0.025,  rev: +1.822
2024/04/15 14:02:22 ID: 241, Data: 9C5535FDFDFF4A01, Celsius: 85, A: -7.15, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5635FD07004A01, Celsius: 86, A: -7.15, rev/s: +0.019,  rev: +0.917
2024/04/15 14:02:22 ID: 241, Data: 9C5637FDF9FF4A01, Celsius: 86, A: -7.13, rev/s: -0.019,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5638FD06004A01, Celsius: 86, A: -7.12, rev/s: +0.017,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5637FDF7FF4A01, Celsius: 86, A: -7.13, rev/s: -0.025,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5638FDF0FF4A01, Celsius: 86, A: -7.12, rev/s: -0.044,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5637FD01004A01, Celsius: 86, A: -7.13, rev/s: +0.003,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5738FDFEFF4A01, Celsius: 87, A: -7.12, rev/s: -0.006,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5739FDFAFF4A01, Celsius: 87, A: -7.11, rev/s: -0.017,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5739FDFEFF4A01, Celsius: 87, A: -7.11, rev/s: -0.006,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C5739FD00004A01, Celsius: 87, A: -7.11, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C573BFDF8FF4A01, Celsius: 87, A: -7.09, rev/s: -0.022,  rev: +0.917
2024/04/15 14:02:23 ID: 241, Data: 9C563AFDEEFF4A01, Celsius: 86, A: -7.10, rev/s: -0.050,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C573BFDFCFF4A01, Celsius: 87, A: -7.09, rev/s: -0.011,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583DFDF3FF4A01, Celsius: 88, A: -7.07, rev/s: -0.036,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583CFD01004A01, Celsius: 88, A: -7.08, rev/s: +0.003,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583CFDF9FF4A01, Celsius: 88, A: -7.08, rev/s: -0.019,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583CFDFEFF4A01, Celsius: 88, A: -7.08, rev/s: -0.006,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583BFDF9FF4A01, Celsius: 88, A: -7.09, rev/s: -0.019,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583CFDE9FF4A01, Celsius: 88, A: -7.08, rev/s: -0.064,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583BFDF6FF4A01, Celsius: 88, A: -7.09, rev/s: -0.028,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C593DFDF7FF4A01, Celsius: 89, A: -7.07, rev/s: -0.025,  rev: +0.917
2024/04/15 14:02:24 ID: 241, Data: 9C583DFD00004A01, Celsius: 88, A: -7.07, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C583EFDFDFF4A01, Celsius: 88, A: -7.06, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C583DFD07004A01, Celsius: 88, A: -7.07, rev/s: +0.019,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C593DFD00004A01, Celsius: 89, A: -7.07, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C593DFDF9FF4A01, Celsius: 89, A: -7.07, rev/s: -0.019,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C593EFD0E004A01, Celsius: 89, A: -7.06, rev/s: +0.039,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C593FFDF6FF4A01, Celsius: 89, A: -7.05, rev/s: -0.028,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C593EFD0C004A01, Celsius: 89, A: -7.06, rev/s: +0.033,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C5940FDFAFF4A01, Celsius: 89, A: -7.04, rev/s: -0.017,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C5A3DFDFEFF4A01, Celsius: 90, A: -7.07, rev/s: -0.006,  rev: +0.917
2024/04/15 14:02:25 ID: 241, Data: 9C5A40FD01004A01, Celsius: 90, A: -7.04, rev/s: +0.003,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5A3EFDF1FF4A01, Celsius: 90, A: -7.06, rev/s: -0.042,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5B40FDFCFF4A01, Celsius: 91, A: -7.04, rev/s: -0.011,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5A3EFDFDFF4A01, Celsius: 90, A: -7.06, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5B41FD08004A01, Celsius: 91, A: -7.03, rev/s: +0.022,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5A40FD0B004A01, Celsius: 90, A: -7.04, rev/s: +0.031,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5B3FFDFDFF4A01, Celsius: 91, A: -7.05, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5B42FDFBFF4A01, Celsius: 91, A: -7.02, rev/s: -0.014,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5B40FD08004A01, Celsius: 91, A: -7.04, rev/s: +0.022,  rev: +0.917
2024/04/15 14:02:26 ID: 241, Data: 9C5B3FFD08004A01, Celsius: 91, A: -7.05, rev/s: +0.022,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5B41FDFCFF4A01, Celsius: 91, A: -7.03, rev/s: -0.011,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5B42FD00004A01, Celsius: 91, A: -7.02, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5B42FDFFFF4A01, Celsius: 91, A: -7.02, rev/s: -0.003,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5B41FD00004A01, Celsius: 91, A: -7.03, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5C41FD08004A01, Celsius: 92, A: -7.03, rev/s: +0.022,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5B43FD04004A01, Celsius: 91, A: -7.01, rev/s: +0.011,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5C41FDFBFF4A01, Celsius: 92, A: -7.03, rev/s: -0.014,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5D41FDFCFF4A01, Celsius: 93, A: -7.03, rev/s: -0.011,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5C42FD06004A01, Celsius: 92, A: -7.02, rev/s: +0.017,  rev: +0.917
2024/04/15 14:02:27 ID: 241, Data: 9C5C43FDEEFF4A01, Celsius: 92, A: -7.01, rev/s: -0.050,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5C42FDFFFF4A01, Celsius: 92, A: -7.02, rev/s: -0.003,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D45FDF1FF4A01, Celsius: 93, A: -6.99, rev/s: -0.042,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D43FDF4FF4A01, Celsius: 93, A: -7.01, rev/s: -0.033,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D44FD08004A01, Celsius: 93, A: -7.00, rev/s: +0.022,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D44FDFCFF4A01, Celsius: 93, A: -7.00, rev/s: -0.011,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D45FD01004A01, Celsius: 93, A: -6.99, rev/s: +0.003,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D42FDF6FF4A01, Celsius: 93, A: -7.02, rev/s: -0.028,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D44FDF7FF4A01, Celsius: 93, A: -7.00, rev/s: -0.025,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D45FDEEFF4A01, Celsius: 93, A: -6.99, rev/s: -0.050,  rev: +0.917
2024/04/15 14:02:28 ID: 241, Data: 9C5D43FD09004A01, Celsius: 93, A: -7.01, rev/s: +0.025,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5D45FDF1FF4A01, Celsius: 93, A: -6.99, rev/s: -0.042,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5E44FDF7FF4A01, Celsius: 94, A: -7.00, rev/s: -0.025,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5E44FD00004A01, Celsius: 94, A: -7.00, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5E45FD0E004A01, Celsius: 94, A: -6.99, rev/s: +0.039,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5E45FD00004A01, Celsius: 94, A: -6.99, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5E48FDF5FF4A01, Celsius: 94, A: -6.96, rev/s: -0.031,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5F45FDFAFF4A01, Celsius: 95, A: -6.99, rev/s: -0.017,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5E46FD00004A01, Celsius: 94, A: -6.98, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5F46FD03004A01, Celsius: 95, A: -6.98, rev/s: +0.008,  rev: +0.917
2024/04/15 14:02:29 ID: 241, Data: 9C5E46FDEBFF4A01, Celsius: 94, A: -6.98, rev/s: -0.058,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C5F46FD0A004A01, Celsius: 95, A: -6.98, rev/s: +0.028,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C5F48FD07004A01, Celsius: 95, A: -6.96, rev/s: +0.019,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C5E47FDF2FF4A01, Celsius: 94, A: -6.97, rev/s: -0.039,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C5F47FDF9FF4A01, Celsius: 95, A: -6.97, rev/s: -0.019,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C5F48FD05004A01, Celsius: 95, A: -6.96, rev/s: +0.014,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C5F48FD04004A01, Celsius: 95, A: -6.96, rev/s: +0.011,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C6047FD03004A01, Celsius: 96, A: -6.97, rev/s: +0.008,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C6048FDF3FF4A01, Celsius: 96, A: -6.96, rev/s: -0.036,  rev: +0.917
2024/04/15 14:02:30 ID: 241, Data: 9C5F48FD01004A01, Celsius: 95, A: -6.96, rev/s: +0.003,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C5F47FDFFFF4A01, Celsius: 95, A: -6.97, rev/s: -0.003,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6049FD03004A01, Celsius: 96, A: -6.95, rev/s: +0.008,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6148FD0F004A01, Celsius: 97, A: -6.96, rev/s: +0.042,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6049FD06004A01, Celsius: 96, A: -6.95, rev/s: +0.017,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C604AFDF4FF4A01, Celsius: 96, A: -6.94, rev/s: -0.033,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6048FD02004A01, Celsius: 96, A: -6.96, rev/s: +0.006,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6049FDFAFF4A01, Celsius: 96, A: -6.95, rev/s: -0.017,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6048FD00004A01, Celsius: 96, A: -6.96, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6049FDF9FF4A01, Celsius: 96, A: -6.95, rev/s: -0.019,  rev: +0.917
2024/04/15 14:02:31 ID: 241, Data: 9C6149FD0E004A01, Celsius: 97, A: -6.95, rev/s: +0.039,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C6148FD14004A01, Celsius: 97, A: -6.96, rev/s: +0.056,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C614AFD07004A01, Celsius: 97, A: -6.94, rev/s: +0.019,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C614AFDFAFF4A01, Celsius: 97, A: -6.94, rev/s: -0.017,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C614AFDFDFF4A01, Celsius: 97, A: -6.94, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C6149FD0E004A01, Celsius: 97, A: -6.95, rev/s: +0.039,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C6149FD0E004A01, Celsius: 97, A: -6.95, rev/s: +0.039,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C614AFD04004A01, Celsius: 97, A: -6.94, rev/s: +0.011,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C624BFDFDFF4A01, Celsius: 98, A: -6.93, rev/s: -0.008,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C6149FD1C004A01, Celsius: 97, A: -6.95, rev/s: +0.078,  rev: +0.917
2024/04/15 14:02:32 ID: 241, Data: 9C614BFDFCFF4A01, Celsius: 97, A: -6.93, rev/s: -0.011,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C614AFD04004A01, Celsius: 97, A: -6.94, rev/s: +0.011,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C624AFDFBFF4A01, Celsius: 98, A: -6.94, rev/s: -0.014,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C624AFDF4FF4A01, Celsius: 98, A: -6.94, rev/s: -0.033,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C634BFDFFFF4A01, Celsius: 99, A: -6.93, rev/s: -0.003,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C624AFD0D004A01, Celsius: 98, A: -6.94, rev/s: +0.036,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C624CFD0F004A01, Celsius: 98, A: -6.92, rev/s: +0.042,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C624CFDF3FF4A01, Celsius: 98, A: -6.92, rev/s: -0.036,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C624BFD00004A01, Celsius: 98, A: -6.93, rev/s: +0.000,  rev: +0.917
2024/04/15 14:02:33 ID: 241, Data: 9C624DFDF9FF4A01, Celsius: 98, A: -6.91, rev/s: -0.019,  rev: +0.917
2024/04/15 14:02:34 ID: 241, Data: 9C634BFD0B004A01, Celsius: 99, A: -6.93, rev/s: +0.031,  rev: +0.917
2024/04/15 14:02:34 ID: 241, Data: 9C644AFD29016801, Celsius: 100, A: -6.94, rev/s: +0.825,  rev: +1.000
2024/04/15 14:02:34 ID: 241, Data: 9C644AFD0F006B01, Celsius: 100, A: -6.94, rev/s: +0.042,  rev: +1.008
2024/04/15 14:02:34 ID: 241, Data: 9C634AFD12006B01, Celsius: 99, A: -6.94, rev/s: +0.050,  rev: +1.008
2024/04/15 14:02:34 ID: 241, Data: 9C634AFD09006B01, Celsius: 99, A: -6.94, rev/s: +0.025,  rev: +1.008
2024/04/15 14:02:34 ID: 241, Data: 9C644AFD07006B01, Celsius: 100, A: -6.94, rev/s: +0.019,  rev: +1.008
2024/04/15 14:02:34 ID: 241, Data: 9C654AFDE6FF6B01, Celsius: 101, A: -6.94, rev/s: -0.072,  rev: +1.008
2024/04/15 14:02:34 ID: 241, Data: 9C644AFD22006D01, Celsius: 100, A: -6.94, rev/s: +0.094,  rev: +1.014
2024/04/15 14:02:34 ID: 241, Data: 9C644AFDAD028C01, Celsius: 100, A: -6.94, rev/s: +1.903,  rev: +1.100
2024/04/15 14:02:34 ID: 241, Data: 9C634AFD1800AC01, Celsius: 99, A: -6.94, rev/s: +0.067,  rev: +1.189
2024/04/15 14:02:35 ID: 241, Data: 9C644AFD0200AC01, Celsius: 100, A: -6.94, rev/s: +0.006,  rev: +1.189
2024/04/15 14:02:35 ID: 241, Data: 9C634AFDF8FFAC01, Celsius: 99, A: -6.94, rev/s: -0.022,  rev: +1.189
2024/04/15 14:02:35 ID: 241, Data: 9C644AFD1900AC01, Celsius: 100, A: -6.94, rev/s: +0.069,  rev: +1.189
2024/04/15 14:02:35 ID: 241, Data: 9C644AFD2B00AD01, Celsius: 100, A: -6.94, rev/s: +0.119,  rev: +1.192
2024/04/15 14:02:35 ID: 241, Data: 9C644AFD8801C201, Celsius: 100, A: -6.94, rev/s: +1.089,  rev: +1.250
2024/04/15 14:02:35 ID: 241, Data: 9C654AFDE9FFC801, Celsius: 101, A: -6.94, rev/s: -0.064,  rev: +1.267
2024/04/15 14:02:35 ID: 241, Data: 9C644AFD0000C801, Celsius: 100, A: -6.94, rev/s: +0.000,  rev: +1.267
2024/04/15 14:02:35 ID: 241, Data: 9C644AFDE9FFC801, Celsius: 100, A: -6.94, rev/s: -0.064,  rev: +1.267
2024/04/15 14:02:35 ID: 241, Data: 9C644AFDFCFFC801, Celsius: 100, A: -6.94, rev/s: -0.011,  rev: +1.267
2024/04/15 14:02:35 ID: 241, Data: 9C644AFD1F00C801, Celsius: 100, A: -6.94, rev/s: +0.086,  rev: +1.267
2024/04/15 14:02:36 ID: 241, Data: 9C644AFD1F00C801, Celsius: 100, A: -6.94, rev/s: +0.086,  rev: +1.267
2024/04/15 14:02:36 ID: 241, Data: 9C634AFD0600C801, Celsius: 99, A: -6.94, rev/s: +0.017,  rev: +1.267
2024/04/15 14:02:36 ID: 241, Data: 9C644AFD0D00CA01, Celsius: 100, A: -6.94, rev/s: +0.036,  rev: +1.272
2024/04/15 14:02:36 ID: 241, Data: 9C634AFDE9FFCB01, Celsius: 99, A: -6.94, rev/s: -0.064,  rev: +1.275
2024/04/15 14:02:36 ID: 241, Data: 9C624AFDF0FFCB01, Celsius: 98, A: -6.94, rev/s: -0.044,  rev: +1.275
